Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (win64) Build 2552052 Fri May 24 14:49:42 MDT 2019
| Date         : Fri Feb 24 11:10:00 2023
| Host         : DESKTOP-6PS40RQ running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : tb_speed_iter_fft
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------+---------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
|              Instance             |                 Module                | Total LUTs | Logic LUTs | LUTRAMs | SRLs | FFs | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------+---------------------------------------+------------+------------+---------+------+-----+--------+--------+--------------+
| tb_speed_iter_fft                 |                                 (top) |        436 |        436 |       0 |    0 | 370 |      0 |      8 |            2 |
|   (tb_speed_iter_fft)             |                                 (top) |          3 |          3 |       0 |    0 |  45 |      0 |      0 |            0 |
|   fft                             |                          top_fft_iter |        433 |        433 |       0 |    0 | 325 |      0 |      8 |            2 |
|     (fft)                         |                          top_fft_iter |         14 |         14 |       0 |    0 |   0 |      0 |      0 |            0 |
|     a_i_reg                       |        param_register__parameterized2 |          6 |          6 |       0 |    0 |  15 |      0 |      0 |            0 |
|     a_r_reg                       |      param_register__parameterized2_0 |          0 |          0 |       0 |    0 |  15 |      0 |      0 |            0 |
|     block_reg                     |                        param_register |          1 |          1 |       0 |    0 |   1 |      0 |      0 |            0 |
|     butterfly                     |           complex_butterfly_selection |        165 |        165 |       0 |    0 | 123 |      0 |      0 |            2 |
|       cplx_but_2MUL_1ADD_1SUB     |   complex_butterfly_iter_5_clk_cycles |        165 |        165 |       0 |    0 | 123 |      0 |      0 |            2 |
|         (cplx_but_2MUL_1ADD_1SUB) |   complex_butterfly_iter_5_clk_cycles |        151 |        151 |       0 |    0 |  63 |      0 |      0 |            2 |
|         reg_dout1_im              |     param_register__parameterized2_12 |          7 |          7 |       0 |    0 |  15 |      0 |      0 |            0 |
|         reg_dout1_re              |     param_register__parameterized2_13 |          0 |          0 |       0 |    0 |  15 |      0 |      0 |            0 |
|         reg_dout2_im              |     param_register__parameterized2_14 |          7 |          7 |       0 |    0 |  15 |      0 |      0 |            0 |
|         reg_dout2_re              |     param_register__parameterized2_15 |          0 |          0 |       0 |    0 |  15 |      0 |      0 |            0 |
|     butterfly_address_gen         |            butterfly_address_gen_unit |         30 |         30 |       0 |    0 |  20 |      0 |      0 |            0 |
|       addr_reg                    |     param_register__parameterized0_11 |         21 |         21 |       0 |    0 |  10 |      0 |      0 |            0 |
|       ring_reg                    |                   ring_shift_register |          9 |          9 |       0 |    0 |  10 |      0 |      0 |            0 |
|     control_unit_selection        |       control_unit_fft_iter_selection |         26 |         26 |       0 |    0 |  26 |      0 |      0 |            0 |
|       control_unit                |       control_unit_fft_iter_5_cyc_but |         26 |         26 |       0 |    0 |  26 |      0 |      0 |            0 |
|     delay_address_A               |                            delay_unit |         10 |         10 |       0 |    0 |  20 |      0 |      0 |            0 |
|       genblk1[0].param            |      param_register__parameterized0_9 |          0 |          0 |       0 |    0 |  10 |      0 |      0 |            0 |
|       genblk1[1].param            |     param_register__parameterized0_10 |         10 |         10 |       0 |    0 |  10 |      0 |      0 |            0 |
